[2024-01-17 15:58:51,995][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-01-17 15:58:52,032][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-01-17 15:58:52,094][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-01-17 15:58:52,162][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-01-17 15:58:52,143][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-01-17 15:58:52,206][flwr][DEBUG] - ChannelConnectivity.READY
[2024-01-17 15:58:52,213][flwr][DEBUG] - ChannelConnectivity.READY
[2024-01-17 15:58:52,552][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-01-17 15:58:52,652][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-01-17 15:58:52,683][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-01-17 15:58:52,687][flwr][DEBUG] - ChannelConnectivity.READY
[2024-01-17 15:59:02,245][flwr][DEBUG] - gRPC channel closed
[2024-01-17 15:59:02,357][flwr][DEBUG] - gRPC channel closed
[2024-01-17 15:59:02,366][flwr][DEBUG] - gRPC channel closed
