[2024-02-23 14:17:12,986][tensorflow][INFO] - Assets written to: /tmp/tmpydsj766j/assets
[2024-02-23 14:17:13,000][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-02-23 14:17:13,003][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-02-23 14:17:13,005][flwr][DEBUG] - ChannelConnectivity.READY
[2024-02-23 14:17:15,281][tensorflow][INFO] - Assets written to: /tmp/tmp_r6zm5a1/assets
[2024-02-23 14:17:15,293][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-02-23 14:17:15,295][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-02-23 14:17:15,296][flwr][DEBUG] - ChannelConnectivity.READY
[2024-02-23 15:50:01,853][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-02-23 15:50:01,853][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-02-23 15:50:02,055][flwr][DEBUG] - gRPC channel closed
[2024-02-23 15:50:02,055][flwr][DEBUG] - gRPC channel closed
