[2024-06-16 16:54:29,015][root][INFO] - Initialized DataManager for experiment experiment_20240616165429014189
[2024-06-16 16:54:30,275][utils.model][INFO] - LeNet model built
[2024-06-16 16:54:30,950][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-16 16:54:30,960][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-16 16:54:30,966][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-16 16:54:30,975][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-16 16:54:30,982][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-16 16:54:39,327][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 16:54:39,673][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 2.3067 - Mean loss: 2.3067 - acc: 0.1250 - norm: 0.21 - 0.34s
[2024-06-16 16:54:40,203][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.7038 - Mean loss: 2.0587 - acc: 0.3011 - norm: 2.63 - 0.87s
[2024-06-16 16:54:40,757][utils.model][INFO] - Epoch Results:
[2024-06-16 16:54:40,761][utils.model][INFO] - (In epoch/Overall): (20/20)| inst_loss: 0.9915 - Mean loss: 1.8047 - acc: 0.4234 - norm: 5.26 - 1.43s
[2024-06-16 16:54:42,311][utils.model][INFO] - Evaluation Results - Val Loss: 1.2153, Val Accuracy: 0.7235 in 32 steps
[2024-06-16 16:54:42,313][root][INFO] - Added epoch data: {'round': 1, 'epoch_steps': 20, 'total_steps': 20, 'l2_norm': 5.260462284088135, 'total_computation_time': 1.2139742374420166, 'total_rtc_check_time': 0.07381470598193118, 'total_duration': 1.4313969612121582, 'val_loss': 1.2152796983718872, 'val_accuracy': 0.7235000133514404, 'experiment_id': 'experiment_20240616165429014189'}
[2024-06-16 16:54:42,326][root][INFO] - Added step data List. New Data Added: 20
[2024-06-16 16:54:42,328][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/epoch.csv
[2024-06-16 16:54:42,329][root][INFO] - Step data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/step.csv
[2024-06-16 16:54:46,968][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 16:54:47,068][utils.model][INFO] - (In epoch/Overall): (1/21)| inst_loss: 1.2641 - Mean loss: 1.2641 - acc: 0.6562 - norm: 0.06 - 0.10s
[2024-06-16 16:54:47,564][utils.model][INFO] - (In epoch/Overall): (11/31)| inst_loss: 0.6467 - Mean loss: 1.0460 - acc: 0.6761 - norm: 0.69 - 0.59s
[2024-06-16 16:54:48,071][utils.model][INFO] - (In epoch/Overall): (21/41)| inst_loss: 0.8885 - Mean loss: 0.9501 - acc: 0.7113 - norm: 1.41 - 1.10s
[2024-06-16 16:54:48,618][utils.model][INFO] - (In epoch/Overall): (31/51)| inst_loss: 0.6387 - Mean loss: 0.8476 - acc: 0.7450 - norm: 2.25 - 1.65s
[2024-06-16 16:54:49,129][utils.model][INFO] - (In epoch/Overall): (41/61)| inst_loss: 0.4573 - Mean loss: 0.7796 - acc: 0.7614 - norm: 3.12 - 2.16s
[2024-06-16 16:54:49,611][utils.model][INFO] - (In epoch/Overall): (51/71)| inst_loss: 0.3882 - Mean loss: 0.7032 - acc: 0.7862 - norm: 3.85 - 2.64s
[2024-06-16 16:54:50,133][utils.model][INFO] - (In epoch/Overall): (61/81)| inst_loss: 0.5918 - Mean loss: 0.6675 - acc: 0.7941 - norm: 4.71 - 3.16s
[2024-06-16 16:54:50,237][utils.model][INFO] - Epoch Results:
[2024-06-16 16:54:50,241][utils.model][INFO] - (In epoch/Overall): (63/83)| inst_loss: 0.2460 - Mean loss: 0.6549 - acc: 0.7981 - norm: 4.87 - 3.27s
[2024-06-16 16:54:51,641][utils.model][INFO] - Evaluation Results - Val Loss: 0.3530, Val Accuracy: 0.8975 in 32 steps
[2024-06-16 16:54:51,643][root][INFO] - Added epoch data: {'round': 2, 'epoch_steps': 63, 'total_steps': 83, 'l2_norm': 4.865150451660156, 'total_computation_time': 2.8397440910339355, 'total_rtc_check_time': 0.21145610299572581, 'total_duration': 3.2706499099731445, 'val_loss': 0.3529507517814636, 'val_accuracy': 0.8974999785423279, 'experiment_id': 'experiment_20240616165429014189'}
[2024-06-16 16:54:51,678][root][INFO] - Added step data List. New Data Added: 63
[2024-06-16 16:54:51,679][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/epoch.csv
[2024-06-16 16:54:51,682][root][INFO] - Step data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/step.csv
[2024-06-16 16:54:56,066][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 16:54:56,179][utils.model][INFO] - (In epoch/Overall): (1/84)| inst_loss: 0.4498 - Mean loss: 0.4498 - acc: 0.8438 - norm: 0.04 - 0.11s
[2024-06-16 16:54:56,693][utils.model][INFO] - (In epoch/Overall): (11/94)| inst_loss: 0.3819 - Mean loss: 0.4570 - acc: 0.8438 - norm: 0.21 - 0.62s
[2024-06-16 16:54:57,179][utils.model][INFO] - (In epoch/Overall): (21/104)| inst_loss: 0.7120 - Mean loss: 0.4447 - acc: 0.8586 - norm: 0.45 - 1.11s
[2024-06-16 16:54:57,680][utils.model][INFO] - (In epoch/Overall): (31/114)| inst_loss: 0.3406 - Mean loss: 0.4095 - acc: 0.8740 - norm: 0.64 - 1.61s
[2024-06-16 16:54:58,202][utils.model][INFO] - (In epoch/Overall): (41/124)| inst_loss: 0.1415 - Mean loss: 0.3850 - acc: 0.8796 - norm: 0.91 - 2.13s
[2024-06-16 16:54:58,693][utils.model][INFO] - (In epoch/Overall): (51/134)| inst_loss: 0.2751 - Mean loss: 0.3704 - acc: 0.8860 - norm: 1.25 - 2.63s
[2024-06-16 16:54:59,189][utils.model][INFO] - (In epoch/Overall): (61/144)| inst_loss: 0.2868 - Mean loss: 0.3484 - acc: 0.8940 - norm: 1.62 - 3.12s
[2024-06-16 16:54:59,725][utils.model][INFO] - (In epoch/Overall): (71/154)| inst_loss: 0.3397 - Mean loss: 0.3311 - acc: 0.8988 - norm: 2.02 - 3.66s
[2024-06-16 16:55:00,261][utils.model][INFO] - (In epoch/Overall): (81/164)| inst_loss: 0.2187 - Mean loss: 0.3216 - acc: 0.9012 - norm: 2.49 - 4.19s
[2024-06-16 16:55:00,827][utils.model][INFO] - (In epoch/Overall): (91/174)| inst_loss: 0.1693 - Mean loss: 0.3128 - acc: 0.9014 - norm: 2.88 - 4.76s
