[2024-06-18 19:24:56,461][root][INFO] - Initialized DataManager for experiment exp_20240618192456457701
[2024-06-18 19:25:02,433][utils.model][INFO] - LeNet model built
[2024-06-18 19:25:02,452][utils.model][INFO] - LeNet model built
[2024-06-18 19:25:02,773][utils.model][INFO] - LeNet model built
[2024-06-18 19:25:03,167][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-18 19:25:03,175][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-18 19:25:03,177][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-18 19:25:03,185][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-18 19:25:03,189][flwr][DEBUG] - ChannelConnectivity.TRANSIENT_FAILURE
[2024-06-18 19:25:03,378][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-18 19:25:03,384][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-18 19:25:03,386][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-18 19:25:03,393][flwr][DEBUG] - gRPC channel closed
[2024-06-18 19:25:03,589][flwr][DEBUG] - gRPC channel closed
[2024-06-18 19:25:04,762][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-18 19:25:04,769][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-18 19:25:04,773][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-18 19:25:04,776][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-18 19:25:04,778][flwr][DEBUG] - gRPC channel closed
