[2024-06-22 14:42:25,997][root][INFO] - Initialized DataManager for experiment exp_20240622_144225
[2024-06-22 14:42:26,009][root][INFO] - Info data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/info.csv
[2024-06-22 14:42:26,011][flwr][INFO] - Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
[2024-06-22 14:42:26,014][flwr][INFO] - Flower ECE: gRPC server running (3 rounds), SSL is disabled
[2024-06-22 14:42:26,015][flwr][INFO] - Initializing global parameters
[2024-06-22 14:42:26,016][flwr][INFO] - Requesting initial parameters from one random client
[2024-06-22 14:42:31,325][flwr][INFO] - Received initial parameters from one random client
[2024-06-22 14:42:31,325][flwr][INFO] - Evaluating initial parameters
[2024-06-22 14:42:31,519][utils.model][INFO] - LeNet model built
[2024-06-22 14:42:32,317][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 14:42:32,503][utils.model][INFO] - Step 1/40 - val_loss: 2.3134 - val_accuracy: 0.1211
[2024-06-22 14:42:32,539][utils.model][INFO] - Step 2/40 - val_loss: 2.3078 - val_accuracy: 0.1211
[2024-06-22 14:42:32,580][utils.model][INFO] - Step 3/40 - val_loss: 2.3057 - val_accuracy: 0.1263
[2024-06-22 14:42:32,626][utils.model][INFO] - Step 4/40 - val_loss: 2.3036 - val_accuracy: 0.1201
[2024-06-22 14:42:32,666][utils.model][INFO] - Step 5/40 - val_loss: 2.3052 - val_accuracy: 0.1234
[2024-06-22 14:42:32,708][utils.model][INFO] - Step 6/40 - val_loss: 2.3061 - val_accuracy: 0.1159
[2024-06-22 14:42:32,752][utils.model][INFO] - Step 7/40 - val_loss: 2.3059 - val_accuracy: 0.1177
[2024-06-22 14:42:32,782][utils.model][INFO] - Step 8/40 - val_loss: 2.3068 - val_accuracy: 0.1182
[2024-06-22 14:42:32,815][utils.model][INFO] - Step 9/40 - val_loss: 2.3068 - val_accuracy: 0.1176
[2024-06-22 14:42:32,844][utils.model][INFO] - Step 10/40 - val_loss: 2.3071 - val_accuracy: 0.1168
[2024-06-22 14:42:32,871][utils.model][INFO] - Step 11/40 - val_loss: 2.3092 - val_accuracy: 0.1154
[2024-06-22 14:42:32,909][utils.model][INFO] - Step 12/40 - val_loss: 2.3092 - val_accuracy: 0.1172
[2024-06-22 14:42:32,941][utils.model][INFO] - Step 13/40 - val_loss: 2.3096 - val_accuracy: 0.1166
[2024-06-22 14:42:32,971][utils.model][INFO] - Step 14/40 - val_loss: 2.3091 - val_accuracy: 0.1175
[2024-06-22 14:42:33,006][utils.model][INFO] - Step 15/40 - val_loss: 2.3097 - val_accuracy: 0.1167
[2024-06-22 14:42:33,041][utils.model][INFO] - Step 16/40 - val_loss: 2.3097 - val_accuracy: 0.1145
[2024-06-22 14:42:33,065][utils.model][INFO] - Step 17/40 - val_loss: 2.3093 - val_accuracy: 0.1126
[2024-06-22 14:42:33,094][utils.model][INFO] - Step 18/40 - val_loss: 2.3091 - val_accuracy: 0.1124
[2024-06-22 14:42:33,121][utils.model][INFO] - Step 19/40 - val_loss: 2.3086 - val_accuracy: 0.1120
[2024-06-22 14:42:33,143][utils.model][INFO] - Step 20/40 - val_loss: 2.3083 - val_accuracy: 0.1121
[2024-06-22 14:42:33,168][utils.model][INFO] - Step 21/40 - val_loss: 2.3093 - val_accuracy: 0.1099
[2024-06-22 14:42:33,192][utils.model][INFO] - Step 22/40 - val_loss: 2.3097 - val_accuracy: 0.1087
[2024-06-22 14:42:33,216][utils.model][INFO] - Step 23/40 - val_loss: 2.3102 - val_accuracy: 0.1075
[2024-06-22 14:42:33,240][utils.model][INFO] - Step 24/40 - val_loss: 2.3110 - val_accuracy: 0.1071
[2024-06-22 14:42:33,263][utils.model][INFO] - Step 25/40 - val_loss: 2.3117 - val_accuracy: 0.1059
[2024-06-22 14:42:33,289][utils.model][INFO] - Step 26/40 - val_loss: 2.3116 - val_accuracy: 0.1059
[2024-06-22 14:42:33,314][utils.model][INFO] - Step 27/40 - val_loss: 2.3119 - val_accuracy: 0.1062
[2024-06-22 14:42:33,337][utils.model][INFO] - Step 28/40 - val_loss: 2.3118 - val_accuracy: 0.1062
[2024-06-22 14:42:33,364][utils.model][INFO] - Step 29/40 - val_loss: 2.3117 - val_accuracy: 0.1059
[2024-06-22 14:42:33,390][utils.model][INFO] - Step 30/40 - val_loss: 2.3124 - val_accuracy: 0.1048
[2024-06-22 14:42:33,415][utils.model][INFO] - Step 31/40 - val_loss: 2.3129 - val_accuracy: 0.1033
[2024-06-22 14:42:33,437][utils.model][INFO] - Step 32/40 - val_loss: 2.3132 - val_accuracy: 0.1038
[2024-06-22 14:42:33,460][utils.model][INFO] - Step 33/40 - val_loss: 2.3131 - val_accuracy: 0.1043
[2024-06-22 14:42:33,482][utils.model][INFO] - Step 34/40 - val_loss: 2.3131 - val_accuracy: 0.1044
[2024-06-22 14:42:33,502][utils.model][INFO] - Step 35/40 - val_loss: 2.3132 - val_accuracy: 0.1038
[2024-06-22 14:42:33,526][utils.model][INFO] - Step 36/40 - val_loss: 2.3134 - val_accuracy: 0.1037
[2024-06-22 14:42:33,547][utils.model][INFO] - Step 37/40 - val_loss: 2.3137 - val_accuracy: 0.1027
[2024-06-22 14:42:33,571][utils.model][INFO] - Step 38/40 - val_loss: 2.3140 - val_accuracy: 0.1026
