[2024-06-22 17:44:53,988][utils.model][INFO] - LeNet model built
[2024-06-22 17:44:54,408][utils.model][INFO] - LeNet model built
[2024-06-22 17:44:54,483][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 17:44:54,526][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 17:44:54,530][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 17:44:54,535][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 17:44:54,539][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 17:44:54,980][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 17:44:54,995][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 17:44:54,997][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 17:44:55,000][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 17:45:02,825][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:02,834][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:03,341][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.5052 - Mean loss: 2.3069 - acc: 0.0938 - norm: 0.15 - 2.31s
[2024-06-22 17:45:03,341][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.5148 - Mean loss: 2.3086 - acc: 0.0000 - norm: 0.15 - 2.31s
[2024-06-22 17:45:04,018][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.1913 - Mean loss: 2.1907 - acc: 0.2756 - norm: 2.00 - 1.95s
[2024-06-22 17:45:04,020][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.1826 - Mean loss: 2.2056 - acc: 0.2557 - norm: 1.72 - 2.05s
[2024-06-22 17:45:04,649][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:04,649][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:04,653][utils.model][INFO] - (In epoch/Overall): (20/20)| inst_loss: 1.2935 - Mean loss: 1.9293 - acc: 0.4000 - norm: 5.24 - 1.83s
[2024-06-22 17:45:04,653][utils.model][INFO] - (In epoch/Overall): (20/20)| inst_loss: 1.5898 - Mean loss: 2.0223 - acc: 0.3688 - norm: 4.47 - 1.82s
[2024-06-22 17:45:06,122][utils.model][INFO] - Evaluation Results - Val Loss: 1.4632, Val Accuracy: 0.6567 in 19 steps
[2024-06-22 17:45:06,137][utils.model][INFO] - Evaluation Results - Val Loss: 1.4209, Val Accuracy: 0.6675 in 19 steps
[2024-06-22 17:45:12,149][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:12,155][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:12,255][utils.model][INFO] - (In epoch/Overall): (1/21)| inst_loss: 0.0987 - Mean loss: 1.2849 - acc: 0.7812 - norm: 0.10 - 1.28s
[2024-06-22 17:45:12,255][utils.model][INFO] - (In epoch/Overall): (1/21)| inst_loss: 0.1042 - Mean loss: 1.3246 - acc: 0.7188 - norm: 0.10 - 1.32s
[2024-06-22 17:45:12,930][utils.model][INFO] - (In epoch/Overall): (11/31)| inst_loss: 0.7732 - Mean loss: 1.2189 - acc: 0.6420 - norm: 0.85 - 0.91s
[2024-06-22 17:45:12,930][utils.model][INFO] - (In epoch/Overall): (11/31)| inst_loss: 0.7788 - Mean loss: 1.2141 - acc: 0.6562 - norm: 1.09 - 1.29s
[2024-06-22 17:45:13,678][utils.model][INFO] - (In epoch/Overall): (21/41)| inst_loss: 1.5263 - Mean loss: 1.0178 - acc: 0.7039 - norm: 1.95 - 0.57s
